station_code,station_id,station_macro,sector,ware,side,role,owner,stock,inbound,outbound,net,allocation,price_cr,price_avg,alloc_value_cr,fill_alloc,s,m_model,a_model,fill_model,cohort,denominator,s_model,residual,cohort_m_fit,cohort_a_fit,cohort_n_offers,cohort_n_distinct_fills,cohort_bin_rmse,confidence
FPL-539,[0x58b17],station_gen_factory_base_01_macro,Tharka's Ravine VIII,scruffinfruits,buy,food,freesplit,865.0,112.0,0.0,977.0,993.6,17.35,28.0,27820.8,0.983293,-0.968182,1.0,0.006,0.983293,main/ration,allocation,-0.954363,-0.013819,0.995,0.006,2362,1556,0.009391,on-model
FPN-211,[0x6c351],station_gen_factory_base_01_macro,Pious Mists II,medicalsupplies,buy,food,paranid,725.0,0.0,0.0,725.0,2916.0,83.26,66.0,192456.0,0.248628,0.750435,1.0,0.006,0.248628,main/ration,allocation,0.744816,0.005619,0.995,0.006,2362,1556,0.009391,on-model
FPN-211,[0x6c351],station_gen_factory_base_01_macro,Pious Mists II,sojahusk,buy,food,paranid,0.0,0.0,0.0,0.0,3110.4,45.0,32.0,99532.8,0.0,1.0,1.0,0.006,0.0,main/ration,allocation,0.999852,0.000148,0.995,0.006,2362,1556,0.009391,on-model
FQA-895,[0x3e6dd],station_gen_factory_base_01_macro,Venus,terranmre,buy,food,terran,558.0,0.0,0.0,558.0,2786.4,71.61,54.0,150465.6,0.200258,0.838571,1.0,0.006,0.200258,main/ration,allocation,0.829959,0.008613,0.995,0.006,2362,1556,0.009391,on-model
FQY-847,[0x480e9],station_gen_factory_base_01_macro,Family Nhuut,medicalsupplies,buy,food,split,435.0,675.0,0.0,1110.0,1458.0,52.37,66.0,96228.0,0.761317,-0.592609,1.0,0.006,0.761317,main/ration,allocation,-0.58968,-0.002929,0.995,0.006,2362,1556,0.009391,on-model
FQY-847,[0x480e9],station_gen_factory_base_01_macro,Family Nhuut,scruffinfruits,buy,food,split,700.0,0.0,0.0,700.0,745.2,17.86,28.0,20865.6,0.939345,-0.921818,1.0,0.006,0.939345,main/ration,allocation,-0.90923,-0.012588,0.995,0.006,2362,1556,0.009391,on-model
FSL-235,[0x77fb4],station_gen_factory_base_01_macro,Second Contact II Flashpoint,medicalsupplies,buy,food,antigone,349.0,0.0,0.0,349.0,486.0,54.8,66.0,32076.0,0.718107,-0.486957,1.0,0.006,0.718107,main/ration,allocation,-0.485287,-0.001669,0.995,0.006,2362,1556,0.009391,on-model
FTP-599,[0x1d931],station_gen_factory_base_01_macro,Thuruk's Demise II First Impact,cheltmeat,buy,food,freesplit,3.0,0.0,0.0,3.0,44.88,71.51,51.0,2288.88,0.066845,0.976667,1.0,0.006,0.066845,main/ration,allocation,0.97824,-0.001573,0.995,0.006,2362,1556,0.009391,on-model
FTP-599,[0x1d931],station_gen_factory_base_01_macro,Thuruk's Demise II First Impact,medicalsupplies,buy,food,freesplit,89.0,0.0,0.0,89.0,118.8,52.36,66.0,7840.8,0.749158,-0.593043,1.0,0.006,0.749158,main/ration,allocation,-0.561153,-0.03189,0.995,0.006,2362,1556,0.009391,on-model
FTP-599,[0x1d931],station_gen_factory_base_01_macro,Thuruk's Demise II First Impact,scruffinfruits,buy,food,freesplit,55.0,0.0,0.0,55.0,60.72,18.07,28.0,1700.16,0.905797,-0.902727,1.0,0.006,0.905797,main/ration,allocation,-0.865015,-0.037712,0.995,0.006,2362,1556,0.009391,on-model
FUK-257,[0x15870],station_gen_factory_base_01_macro,True Sight,medicalsupplies,buy,food,holyorder,0.0,0.0,0.0,0.0,1701.0,89.0,66.0,112266.0,0.0,1.0,1.0,0.006,0.0,main/ration,allocation,0.999852,0.000148,0.995,0.006,2362,1556,0.009391,on-model
